,主旨,原因,不合格原因暨檢出量詳細說明,法規限量標準,seg
526,食用百合,重金屬含量不符規定 & 農藥殘留含量不符規定,(1)檢出殘留農藥扶吉胺0.03 ppm(2)檢出重金屬鎘0.07 mg/kg,(1)本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。(2)依據「食品中污染物質及毒素衛生標準」，鎘(鱗莖類)限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '殘留', '農藥', '扶吉胺', '0.03', 'ppm', '屬鎘', '0.07', 'mg', 'kg', '重金']"
527,鮮草莓,農藥殘留含量不符規定,檢出殘留農藥氟尼胺0.02 ppm,依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '氟尼胺', '0.02', 'ppm']"
528,鮮草莓,農藥殘留含量不符規定,檢出殘留農藥氟尼胺0.04 ppm、賽安勃0.08 ppm,依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm、賽安勃為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '氟尼胺', '0.04', '賽安勃', '0.08']"
529,鮮草莓,農藥殘留含量不符規定,檢出殘留農藥賜派滅0.04 ppm、阿納寧0.03 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['ppm', '檢出', '殘留', '農藥', '派滅', '0.04', '阿納寧', '0.03']"
530,鮮蜜瓜,農藥殘留含量不符規定,檢出殘留農藥納乃得0.01 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥納', '0.01', 'ppm']"
531,鮮蜜柑,農藥殘留含量不符規定,檢出殘留農藥必芬蟎0.06 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '必芬', '0.06', 'ppm']"
532,人參,農藥殘留含量不符規定,檢出殘留農藥賽氟滅0.11 ppm、Pyribencarb 0.01 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['ppm', '檢出', '殘留', '農藥賽', '氟滅', '0.11', 'Pyribencarb', '0.01']"
533,鮮人參,農藥殘留含量不符規定,檢出殘留農藥Pyribencarb 0.03 ppm、得克利0.04 ppm,依據「農藥殘留容許量標準」，農藥Pyribencarb為不得檢出、得克利定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', 'Pyribencarb', '0.03', '0.04', '克利']"
534,BENG THIEN 調味料,防腐劑含量不符規定,檢出防腐劑丙酸1 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['檢出', 'kg', '丙酸', '防腐']"
535,北蟲草,農藥殘留含量不符規定,檢出殘留農藥滅必蝨0.61 ppm、撲滅寧0.38 ppm、派美尼0.23 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['ppm', '檢出', '殘留', '農藥滅', '必蝨', '0.61', '撲滅寧', '0.38', '美尼', '0.23']"
536,鮮柿子,農藥殘留含量不符規定,檢出殘留農藥矽護芬0.05 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '矽護芬', '0.05', 'ppm']"
537,白帶魚(FRESH ATLANTIC CUTLASS FISH),其它衛生項目不符規定(動物用藥殘留含量不符規定),檢出還原型孔雀綠2.7 ppb,本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。,"['檢出還', '2.7', 'ppb', '孔雀', '原型']"
538,鮮大蒜(FRESH GARLIC RED ),殘留農藥含量不符規定,檢出殘留農藥白克列0.7 ppm,依據「農藥殘留容許量標準」，農藥白克列容許量為0.5 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '白克列', '0.7', 'ppm']"
539,鮮草莓(熊本)(FRESH STRAWBERRY),殘留農藥含量不符規定,檢出殘留農藥氟尼胺0.03 ppm,依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '氟尼胺', '0.03', 'ppm']"
540,冷凍旗魚卵(MARLIN ROE),重金屬含量不符規定,檢出鎘0.33 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法17條規定。,"['檢出鎘', '0.33', 'mg', 'kg']"
541,已壓碎黑胡椒粒(BLACK PEPPER CRACKED STEAM TREATED #18),殘留農藥含量不符規定,檢出殘留農藥芬普尼0.005 ppm,依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥芬', '普尼', '0.005', 'ppm']"
542,鮮金柑(鹿兒島)(FRESH KUMQUAT),殘留農藥含量不符規定,檢出殘留農藥矽護芬0.07 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '矽護芬', '0.07', 'ppm']"
543,血蛤((LIVE AKAGAI CLAM)),重金屬含量不符規定,檢出鎘2 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為1 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', 'mg', 'kg']"
544,草莓(FRESH STRAWBERRY),殘留農藥含量不符規定,檢出殘留農藥賽派芬0.03 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥賽', '派芬', '0.03', 'ppm']"
545,美國奇異果(FRESH FRUITS KIWI),殘留農藥含量不符規定,檢出殘留農藥賽普洛0.1 ppm、芬化利0.04 ppm,依據「農藥殘留容許量標準」，農藥賽普洛、芬化利定量極限均為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥賽', '普洛', '0.1', '芬化利', '0.04']"
546,鮮草莓(FRESH STRAWBERRY),農藥殘留含量不符規定,檢出殘留農藥賽派芬0.12 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥賽', '派芬', '0.12', 'ppm']"
547,草莓(FRESH STRAWBERRY),農藥殘留含量不符規定,檢出殘留農藥氟尼胺0.02 ppm、賽派芬0.26 ppm,依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm、賽派芬為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '氟尼胺', '0.02', '賽派芬', '0.26']"
548,蘆筍(FRESH ASPARAGUS),農藥殘留含量不符規定,檢出殘留農藥亞托敏0.04 ppm,依據「農藥殘留容許量標準」，農藥亞托敏容許量為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '亞托敏', '0.04', 'ppm']"
549,蜜柑(SATSUMA ORANGE),農藥殘留含量不符規定,檢出殘留農藥得脫蟎0.01 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '0.01', 'ppm']"
550,"鮮藍莓(Blueberries, fresh)",農藥殘留含量不符規定,檢出殘留農藥益滅松0.40 ppm,依據「農藥殘留容許量標準」，農藥益滅松定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥益', '滅松', '0.40', 'ppm']"
551,竹笙(LONG NET STINKHORN (竹笙)(乾品)),其它衛生項目不符規定(農藥殘留及重金屬含量不符規定),(1)檢出殘留農藥芬普尼代謝物0.008 ppm(2)檢出鎘 4 mg/kg,(1)依據「農藥殘留容許量標準」，農藥芬普尼代謝物定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。(2)依據「食品中污染物質及毒素衛生標準」，鎘限量為2 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '殘留', '農藥芬', '普尼代', '謝物', '0.008', 'ppm', '檢出鎘', 'mg', 'kg']"
552,BAO NGOC 辣椒粉(VCB001 BAO NGOC GIA VI OT XAY),農藥殘留含量不符規定,檢出殘留農藥芬普尼0.014 ppm、芬普尼代謝物0.007 ppm及三落松0.42 ppm,依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.002 ppm、三落松定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥芬', '普尼', '0.014', '芬普尼代', '謝物', '0.007', '及三落', '0.42']"
553,59502-A 匈牙利紅椒粉 Paprika Grou(PAPRIKA POWDER 120 ASTA ST. TREATED),農藥殘留含量不符規定,檢出殘留農藥氟比來1.3 ppm、普拔克12.6 ppm、賽安勃0.13 ppm,依據「農藥殘留容許量標準」，農藥氟比來容許量為1.0 ppm、普拔克容許量為2.0 ppm、賽安勃為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '比來', '1.3', '普拔克', '12.6', '賽安勃', '0.13']"
554,鮮西洋梨(FRESH PEARS),農藥殘留含量不符規定,檢出殘留農藥派美尼2.7 ppm,依據「農藥殘留容許量標準」，農藥派美尼容許量為2.0 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '美尼', '2.7', 'ppm']"
555,蝦荑蔥(FRESH CHIVE HERB),農藥殘留含量不符規定,檢出殘留農藥阿巴汀0.07 ppm,依據「農藥殘留容許量標準」，農藥阿巴汀容許量為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '0.07', 'ppm', '阿巴']"
556,新鮮朝鮮薊(大)(FRESH ARTICHAUT),農藥殘留含量不符規定,檢出殘留農藥四克利0.03 ppm,依據「農藥殘留容許量標準」，農藥四克利定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '0.03', 'ppm', '克利']"
557,山竹(FRESH MANGOSTEEN),農藥殘留含量不符規定,檢出殘留農藥亞托敏0.22 ppm、丁基滅必蝨0.04 ppm,依據「農藥殘留容許量標準」，農藥亞托敏、丁基滅必蝨定量極限均為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '亞托敏', '0.22', '滅必蝨', '0.04', '丁基']"
558,白帶魚(FRESH CUTLASS FISH),動物用藥殘留含量不符規定,檢出還原型孔雀綠0.7 ppb,本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。,"['檢出還', '0.7', 'ppb', '孔雀', '原型']"
559,BEST Peated (Malt) 大麥麥芽(BEST PEATED (MALT)),農藥殘留含量不符規定,檢出殘留農藥2-Phenylphenol 0.03 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Phenylphenol', '0.03', 'ppm']"
560,鮮榴槤(FRESH DURIAN),重金屬含量不符規定,檢出鎘0.07 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法17條規定。,"['檢出鎘', '0.07', 'mg', 'kg']"
561,印度黑麻(BLACK SESAME SEED),農藥殘留含量不符規定,檢出殘留農藥毆殺松0.19 ppm、陶斯松0.03 ppm，,依據「農藥殘留容許量標準」，農藥毆殺松、陶斯松定量極限均為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '0.19', '陶斯松', '0.03']"
562,鮮金柑(FRESH KUMQUAT),農藥殘留含量不符規定,檢出殘留農藥矽護芬0.60 ppm、賽派芬0.03 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['ppm', '檢出', '殘留', '農藥', '矽護芬', '0.60', '賽派芬', '0.03']"
563,鮮金柑(FRESH KUMQUAT),農藥殘留含量不符規定,檢出殘留農藥矽護芬0.06 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '矽護芬', '0.06', 'ppm']"
564,鮮紫蘇(FRESH PERILLA LEAF),農藥殘留含量不符規定,檢出殘留農藥必芬蟎2.19 ppm、達特南5.9 ppm,依據「農藥殘留容許量標準」，農藥必芬蟎為不得檢出、達特南容許量為2.0 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '必芬', '2.19', '達特南', '5.9']"
565,白帶魚(FRESH ATLANTIC CUTLASS FISH),動物用藥殘留含量不符規定,檢出還原型孔雀綠2.8 ppb,本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。,"['檢出還', '2.8', 'ppb', '孔雀', '原型']"
566,美國香菜(FRESH STINKING),農藥殘留含量不符規定,檢出殘留農藥陶斯松0.08 ppm,依據「農藥殘留容許量標準」，農藥陶斯松定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '陶斯松', '0.08', 'ppm']"
567,綠蘆筍(FRESH GREEN ASPARAGUS),農藥殘留含量不符規定,檢出殘留農藥滅芬諾0.10 ppm,依據「農藥殘留容許量標準」，農藥滅芬諾定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '滅芬諾', '0.10', 'ppm']"
568,白蒜(FRESH WHITE GARLIC),農藥殘留含量不符規定,檢出殘留農藥二氯松0.01 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '0.01', 'ppm', '二氯']"
569,紅蒜(FRESH RED GARLIC),農藥殘留含量不符規定,檢出殘留農藥二氯松0.01 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '0.01', 'ppm', '二氯']"
570,紅蒜(FRESH RED GARLIC),農藥殘留含量不符規定,檢出殘留農藥二氯松0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '0.02', 'ppm', '二氯']"
571,紙吸管24入-甜心粉(New Pink Stripe Paper Straw 24ct),其它衛生項目不符規定(其他衛生項目不符規定),"產品以正庚烷25℃,1小時，溶出試驗結果，蒸發殘渣值為168 ppm；氯仿溶出試驗結果，氯仿可溶物為153 ppm",依據「食品器具容器包裝衛生標準」，紙類其內部材質與內容物直接接觸之部分為蠟者其溶出試驗正庚烷，蒸發殘渣合格標準為30 ppm以上者，其氯仿可溶物應為40 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['溶出', '試驗', '結果', 'ppm', '氯仿', '庚烷', '產品', '25', '小時', '蒸發', '殘渣值', '168', '物為', '153', '可溶']"
572,紙吸管24入-蒂芬妮藍(Robin's Egg Blue Stripe Paper Straw 24ct),其它衛生項目不符規定(其他衛生項目不符規定),"產品以正庚烷25℃,1小時，溶出試驗結果，蒸發殘渣值為56 ppm；氯仿溶出試驗結果，氯仿可溶物為53 ppm",依據「食品器具容器包裝衛生標準」，紙類其內部材質與內容物直接接觸之部分為蠟者其溶出試驗正庚烷，蒸發殘渣合格標準為30 ppm以上者，氯仿可溶物應為40 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['溶出', '試驗', '結果', 'ppm', '氯仿', '庚烷', '產品', '25', '小時', '蒸發', '殘渣值', '56', '物為', '53', '可溶']"
573,冷凍魚肚(鮪魚肚)(FROZEN FISH MAW),重金屬含量不符規定,檢出鎘0.6 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.1 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.6', 'mg', 'kg']"
574,草莓(FRESH STRAWBERRY),農藥殘留含量不符規定,檢出殘留農藥賽派芬0.04 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥賽', '派芬', '0.04', 'ppm']"
575,紫蘇葉(FRESH PERILLA LEAVES),農藥殘留含量不符規定,檢出殘留農藥達滅芬0.05 ppm,依據「農藥殘留容許量標準」，農藥達滅芬定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥達', '滅芬', '0.05', 'ppm']"
576,鮟鱇魚(YELLOW GOOSEFISH),重金屬含量不符規定,檢出鎘0.92 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.92', 'mg', 'kg']"
577,鮟鱇魚(YELLOW GOOSEFISH),重金屬含量不符規定,檢出鎘0.11 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.11', 'mg', 'kg']"
578,開背草蝦(FROZEN HOSO BUTTERFLY CUT BLACK TIGER SHRIMP),動物用藥殘留含量不符規定,檢出動物用藥西氟沙星0.02 ppm、恩氟喹啉羧酸0.06 ppm,本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。,"['ppm', '檢出', '動物用', '藥西氟沙星', '0.02', '0.06', '喹啉', '羧酸']"
579,陶盤(POTTERY MADE Pottery plate (used)),其它衛生項目不符規定(其他衛生項目不符規定),檢出鉛12 ppm,依據「食品器具容器包裝衛生標準」，玻璃、陶瓷器、施琺瑯之器具、容器-深2.5cm以上，且容量1.1L以下者，鉛之合格標準為5 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '12', 'ppm']"
580,鮮榴槤(FRESH DURIAN),重金屬含量不符規定,檢出鎘0.08 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法17條規定。,"['檢出鎘', '0.08', 'mg', 'kg']"
581,冷凍黑旗(BLACK MARLIN),重金屬含量不符規定,檢出鎘0.06 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法17條規定。,"['檢出鎘', '0.06', 'mg', 'kg']"
582,冷凍翻車魚腸(FROZEN OCEAN SUN FISH'S INTESTINES (Mola mola)),重金屬含量不符規定,檢出鎘0.09 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.09', 'mg', 'kg']"
583,伍仔魚(CHILLED FOUR-RAYED THREADFIN),重金屬含量不符規定,檢出甲基汞1.3 mg/kg,依據「食品中污染物質及毒素衛生標準」，甲基汞限量為0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '1.3', 'mg', 'kg', '甲基汞']"
584,"樹薯片(""KUSUKA"" CHIPS-ORIGINAL)",其它衛生項目不符規定(其他衛生項目不符規定),檢出氰酸57.2 mg/kg,依據「食品中污染物質及毒素衛生標準」，氰酸限量為10 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '57.2', 'mg', 'kg', '氰酸']"
585,法式伯爵紅茶 A808(A808 EARL GREY FLEURS BLEUES),農藥殘留含量不符規定,檢出殘留農藥賽果培0.15 ppm,依據「農藥殘留容許量標準」，農藥賽果培定量極限為 0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥賽', '果培', '0.15', 'ppm']"
586,鮮蜜瓜(FRESH MELON),農藥殘留含量不符規定,檢出殘留農藥Nitenpyram 0.05 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Nitenpyram', '0.05', 'ppm']"
587,瑪莎拉茶MASALA CHAI(GTB-91 MASALA CHAI),農藥殘留含量不符規定,檢出殘留農藥芬普尼總計0.014 ppm(芬普尼0.010 ppm、芬普尼代謝物0.004 ppm),依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥芬', '普尼', '總計', '0.014', '芬普尼', '0.010', '芬普尼代', '謝物', '0.004']"
588,冷凍黑旗魚(FROZEN BLUE MARLIN),重金屬含量不符規定,檢出鎘0.30 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.30', 'mg', 'kg']"
589,泰勒約克夏茶-金牌(YORKSHIRE GOLD TEA HT),農藥殘留含量不符規定,檢出殘留農藥賽果培0.11 ppm,依據「農藥殘留容許量標準」，農藥賽果培定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥賽', '果培', '0.11', 'ppm']"
590,伍仔魚(CHILLED FOUR-RAYED THREADFIN),重金屬含量不符規定,檢出甲基汞0.7 mg/kg,依據「食品中污染物質及毒素衛生標準」，甲基汞限量為0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '0.7', 'mg', 'kg', '甲基汞']"
591,蜜柑(ORANGE),農藥殘留含量不符規定,檢出殘留農藥得克利0.02 ppm,依據「農藥殘留容許量標準」，農藥得克利定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '0.02', 'ppm', '克利']"
592,調味料(SEASONING),農藥殘留含量不符規定,檢出殘留農藥畢芬寧0.11 ppm,依據「農藥殘留容許量標準」，農藥畢芬寧定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '畢芬寧', '0.11', 'ppm']"
593,山美牌茶葉醬(原味)(Tea Leaf Sauce (original)),防腐劑含量不符規定,檢出防腐劑苯甲酸1.2 g/kg、己二烯酸0.72 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，防腐劑用量以Benzoic acid 計為1.0 g/kg以下、用量以Sorbic acid 計為1.0 g/kg以下，且混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值 (即使用量/用量標準) 總和不得大於1，本案不符合食品安全衛生管理法第18條規定。,"['kg', '己二烯', '檢出', '1.2', '0.72', '苯甲酸', '防腐']"
594,山美牌茶葉醬(辣味)(Tea Leaf Sauce (Spicy)),防腐劑含量不符規定,檢出防腐劑苯甲酸1.1 g/kg、己二烯酸0.61 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，防腐劑用量以Benzoic acid 計為1.0 g/kg以下、用量以Sorbic acid 計為1.0 g/kg以下，且混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值 (即使用量/用量標準) 總和不得大於1，本案不符合食品安全衛生管理法第18條規定。,"['kg', '己二烯', '檢出', '1.1', '0.61', '苯甲酸', '防腐']"
595,SABBAT馬卡龍砧板套裝4件組(CHOPPING BOARD),容器具-溶出試驗不符規定,"案內產品以正庚烷(25℃,60分鐘)溶出試驗結果，其中1件蒸發殘渣值為33 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠類，其正庚烷(25℃,60分鐘)溶出試驗蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['庚烷', '案內產品', '25', '60', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '33', 'ppm', '其中']"
596,綠茶(GREEN TEA),農藥殘留含量不符規定,檢出殘留農藥依芬寧0.05 ppm、芬普尼及芬普尼代謝物0.026 ppm,依據「農藥殘留容許量標準」，農藥依芬寧為不得檢出、芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '依芬寧', '0.05', '芬普尼及', '芬普尼代', '謝物', '0.026']"
597,鮮蒜頭(FRESH GARLIC),農藥殘留含量不符規定,檢出殘留農藥大滅松0.09 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '大滅', '0.09', 'ppm']"
598,芝麻菜(LETTUCE ROCKET),農藥殘留含量不符規定,檢出殘留農藥賜諾殺2.1 ppm,依據「農藥殘留容許量標準」，農藥賜諾殺容許量為1.0 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '2.1', 'ppm']"
599,聖餐紙杯(PAPER CUPS),容器具-溶出試驗不符規定,"案內產品以正庚烷(25℃,1小時)溶出試驗結果，蒸發殘渣為652 ppm","依據「食品器具容器包裝衛生標準」，紙類其內部材質與內容物直接接觸之部分為蠟者其溶出試驗以正庚烷(25℃,1小時)蒸發殘渣標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","['庚烷', '案內產品', '25', '小時', '溶出', '試驗', '結果', '蒸發', '殘渣', '652', 'ppm']"
600,鮮藍莓(FRESH BLUEBERRIES),農藥殘留含量不符規定,檢出殘留農藥賜派滅0.03 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '派滅', '0.03', 'ppm']"
601,胡蘿蔔(橘)(CARROTS BABY ORANGE(CARROTS)),農藥殘留含量不符規定,檢出殘留農藥佈滅淨0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '滅淨', '0.02', 'ppm']"
602,綠豆(GREEN MUNG BEANS),農藥殘留含量不符規定,檢出殘留農藥嘉磷塞3.7 ppm,依據「農藥殘留容許量標準」，農藥嘉磷塞容許量為2.0 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '磷塞', '3.7', 'ppm']"
603,食用百合(FRESH LILY BULE),重金屬含量不符規定,檢出鎘0.09 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.09', 'mg', 'kg']"
604,鮮哈密瓜(FRESH MELON),農藥殘留含量不符規定,檢出殘留農藥Nitenpyram 0.03 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Nitenpyram', '0.03', 'ppm']"
605,米桶(米桶-藍(塑膠)),容器具-溶出試驗不符規定,案內產品以4％醋酸(95℃，30分鐘)溶出試驗結果，上蓋蒸發殘渣值55 ppm,依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠其溶出試驗4％醋酸(95℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '95', '30', '分鐘', '溶出', '試驗', '結果', '上蓋', '蒸發', '殘渣值', '55', 'ppm', '醋酸']"
606,米桶(米桶-藍(塑膠)),容器具-溶出試驗不符規定,案內產品以4％醋酸(95℃，30分鐘)溶出試驗結果，上蓋蒸發殘渣值67 ppm,依據「食品器具容器包裝衛生標準」，以聚丙烯為合成原料之塑膠其溶出試驗4％醋酸(95℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '95', '30', '分鐘', '溶出', '試驗', '結果', '上蓋', '蒸發', '殘渣值', '67', 'ppm', '醋酸']"
607,新鮮大蒜(FRESH GARLIC),農藥殘留含量不符規定,檢出殘留農藥佈飛松0.07 ppm,依據「農藥殘留容許量標準」，農藥佈飛松容許量為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '飛松', '0.07', 'ppm']"
608,食用百合(FRESH LILY BULBS ),重金屬含量不符規定,檢出鎘0.06 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.06', 'mg', 'kg']"
